"location_id","latitude","longitude","elevation"
1,44.2309113,-122.20169127,604
2,44.22821061,-122.20172777,649
3,44.22550993,-122.20176427,767
4,44.22010856,-122.20183726,912
5,44.21740788,-122.20187375,993
6,44.22862562,-122.19671377,697
7,44.22592494,-122.1967505,764
8,44.22322426,-122.19678722,828
9,44.22052358,-122.19682394,929
10,44.21735515,-122.19436329,1091
11,44.23080531,-122.18666695,639
12,44.22810464,-122.18670414,726
13,44.22540396,-122.18674133,783
14,44.22270329,-122.18677851,859
15,44.22000262,-122.18681569,1053
16,44.21730194,-122.18685286,1181
17,44.21190058,-122.18692719,1276
18,44.22535024,-122.17922988,784
19,44.22264957,-122.17926741,867
20,44.2199489,-122.17930493,924
21,44.21454756,-122.17937995,1099
22,44.21184688,-122.17941746,1203
23,44.22529602,-122.17171846,804
24,44.22259536,-122.17175633,813
25,44.21989469,-122.17179419,858
26,44.21719403,-122.17183205,994
27,44.21449336,-122.17186991,1074
28,44.21179269,-122.17190775,1171
29,44.20909202,-122.1719456,1311
30,44.23064262,-122.16413062,747
31,44.22794197,-122.16416885,740
32,44.21983999,-122.16428348,883
33,44.20903734,-122.16443625,1040
34,44.24139,-122.15646424,923
35,44.23868935,-122.15650283,871
36,44.20898216,-122.15692693,1040
37,44.24943618,-122.14883399,1109
38,44.24673554,-122.14887294,1039
39,44.24403491,-122.14891188,986
40,44.24133427,-122.14895082,935
41,44.23863363,-122.14898975,930
42,44.24395038,-122.13764128,1131
43,44.24124974,-122.13768073,1145
44,44.23854911,-122.13772018,1048
45,44.23584848,-122.13775962,950
46,44.23314784,-122.13779906,897
47,44.24653429,-122.13717145,1132
48,44.20822481,-122.24425407,742
49,44.21240413,-122.24317419,639
50,44.21499278,-122.24389212,544
51,44.21808705,-122.24741878,493
52,44.22031546,-122.24539522,488
53,44.22336454,-122.24259885,486
54,44.22484429,-122.23937693,490
55,44.22567066,-122.23567917,489
56,44.20558957,-122.12835098,1502
57,44.27353961,-122.16745736,1172
58,44.26997215,-122.1733466,1074
59,44.20802502,-122.12895341,1497
60,44.21071866,-122.12917656,1510
61,44.21336191,-122.12987616,1558
62,44.20386095,-122.12246903,1391
63,44.20405665,-122.11768598,1375
64,44.20335165,-122.11332177,1339
65,44.23175661,-122.155237,781
66,44.23053193,-122.1479295,898
67,44.22983713,-122.14410802,898
