"taxon_id","taxon_name"
1,"Melanerpes formicivorus"
2,"Spinus tristis"
3,"Accipiter gentilis"
4,"Corvus brachyrhynchos"
5,"Cinclus mexicanus"
6,"Turdus migratorius"
7,"Strix varia"
8,"Haliaeetus leucocephalus"
9,"Poecile atricapillus"
10,"Megaceryle alcyon"
11,"Thryomanes bewickii"
12,"Pheucticus melanocephalus"
13,"Certhia americana"
14,"Patagioenas fasciata"
15,"Setophaga nigrescens"
16,"Perisoreus canadensis"
17,"Branta canadensis"
18,"Vireo cassinii"
19,"Poecile rufescens"
21,"Spizella passerina"
22,"Accipiter cooperii"
23,"Mergus merganser"
24,"Chordeiles minor"
25,"Corvus corax"
26,"Junco hyemalis"
27,"Tamiasciurus douglasii"
28,"Picoides pubescens"
29,"Coccothraustes vespertinus"
30,"Regulus satrapa"
31,"Zonotrichia atricapilla"
32,"Empidonax hammondii"
33,"Picoides villosus"
34,"Catharus guttatus"
35,"Setophaga occidentalis"
36,"Vireo huttoni"
37,"Passerina amoena"
38,"Melospiza lincolnii"
39,"Anas platyrhynchos"
40,"Geothlypis tolmiei"
41,"Poecile gambeli"
42,"Oreortyx pictus"
43,"Leiothlypis ruficapilla"
44,"Colaptes auratus"
45,"Glaucidium gnoma"
46,"Strix occidentalis"
47,"Aegolius acadicus"
48,"Vermivora celata"
49,"Contopus cooperi"
50,"Pandion haliaetus"
51,"Troglodytes pacificus"
52,"Ochotona princeps"
53,"Carduelis pinus"
56,"Haemorhous purpureus"
57,"Sitta canadensis"
58,"Sphyrapicus ruber"
59,"Regulus calendula"
60,"Loxia curvirostra"
61,"Buteo jamaicensis"
62,"Bonasa umbellus"
63,"Selasphorus rufus"
64,"Dendragapus fuliginosus"
65,"Melospiza melodia"
66,"Pipilo maculatus"
67,"Accipiter striatus"
68,"Cyanocitta stelleri"
69,"Catharus ustulatus"
70,"Myadestes townsendi"
71,"Setophaga townsendi"
72,"Cathartes aura"
93,"Chaetura vauxi"
94,"Ixoreus naevius"
95,"Vireo gilvus"
96,"Piranga ludoviciana"
97,"Contopus sordidulus"
98,"Cardellina pusilla"
99,"Setophaga petechia"
100,"Setophaga coronata"
